,importance,stddev,p_value,n,p99_high,p99_low
Tilt Angle,0.04637002341920369,0.004504773784934746,1.0555493787795244e-05,5,0.05564541490497474,0.03709463193343264
Angle Subtended by the Hydrophobic Residues,0.022950819672131084,0.011157966510137306,0.005017836157683857,5,0.04592522693599001,-2.3587591727835394e-05
Propensity to in vitro Aggregation,0.01592505854800934,0.006706239373899887,0.003023288295043912,5,0.029733298108947613,0.002116818987071072
Net Charge,0.01170960187353629,0.010072980406373085,0.030043783015750676,5,0.03245000775364308,-0.0090308040065705
Length,0.010304449648711956,0.0048563094504280434,0.004503174805104769,5,0.020303657928472944,0.00030524136895096823
BLOSUM10,0.009836065573770503,0.0041893545245897746,0.003148600339746684,5,0.018462004442933784,0.0012101267046072204
Basic_Mole.,0.00983606557377048,0.005591258260568262,0.008525209149786314,5,0.021348543611682244,-0.001676412464141283
ProtFP7,0.008899297423887597,0.0055912582605683065,0.011803318323444554,5,0.020411775461799453,-0.0026131806140242565
KF9,0.0074941451990632405,0.0041893545245897746,0.008065044950046259,5,0.01612008406822652,-0.0011317936701000422
Aromatic_Mole.,0.0074941451990632405,0.006061910588077189,0.025310881274630083,5,0.019975702884422353,-0.004987412486295872
Charged_Mole.,0.007494145199063195,0.011639132215259137,0.11167687834122625,5,0.03145927930018476,-0.016470988902058364
Hp,0.007025761124121788,0.0061961389017906165,0.0321450554929939,5,0.0197836967626493,-0.005732174514405724
KF3,0.007025761124121788,0.0023419203747072626,0.0012851303826999652,5,0.011847807544423479,0.0022037147038200967
Ep,0.007025761124121765,0.007941838387734474,0.05952727203031444,5,0.023378116132338693,-0.009326593884095164
VHSE8,0.006557377049180335,0.004504773784934746,0.015614906963538277,5,0.015832768534951386,-0.0027180144365907145
KF10,0.006557377049180335,0.003053490587916935,0.004317896303775769,5,0.012844556373426255,0.0002701977249344135
MSWHIM2,0.006088992974238883,0.003918782325686541,0.012740740740740738,5,0.014157819946155194,-0.0019798339976774297
BLOSUM7,0.00562060889929743,0.005878173488529812,0.049650341606863435,5,0.0177238493571719,-0.0064826315585770405
KF4,0.005152224824355978,0.007293869556158058,0.09468369498099061,5,0.02017040305247606,-0.009865953403764107
Amphiphilicity Index,0.004683840749414525,0.0023419203747072626,0.005528246696725034,5,0.009505887169716216,-0.00013820567088716589
PP3,0.004683840749414525,0.004967963333863337,0.051350213747755905,5,0.014912945918389452,-0.0055452644195604014
ST1,0.004215456674473072,0.0034736292679605017,0.02666913052284452,5,0.011367707347862363,-0.002936793998916219
KF5,0.0037470725995316203,0.006327520415038085,0.12802180324974027,5,0.01677552458972116,-0.009281379390657919
BLOSUM3,0.0037470725995316203,0.0048563094504280434,0.07977642634919695,5,0.013746280879292607,-0.0062521356802293674
MSWHIM1,0.0037470725995316203,0.0020946772622948873,0.008065044950046259,5,0.00806004203411326,-0.0005658968350500211
KF6,0.0032786885245901674,0.0020946772622948873,0.012448081730111376,5,0.007591657959171809,-0.001034280909991474
ST5,0.0032786885245901674,0.0035516981002583414,0.05396941114613827,5,0.010591684002706641,-0.004034306953526307
F6,0.0032786885245901674,0.004254309631050344,0.07996739941871081,5,0.01203837085573074,-0.005480993806550405
Normalized Hydrophobic Moment,0.0032786885245901674,0.003918782325686541,0.06735096765948356,5,0.01134751549650648,-0.004790138447326145
F2,0.0032786885245901674,0.0026702000587801858,0.025802978905587363,5,0.008776667351705424,-0.0022192903025250897
ST8,0.002810304449648715,0.0019593911628432705,0.016338961668401486,5,0.006844717935606872,-0.0012241090363094413
Tiny_Mole.,0.002810304449648715,0.009570405968010572,0.2736435082297112,5,0.022515902614850158,-0.01689529371555273
VHSE5,0.002810304449648715,0.0034736292679605017,0.07235199930316516,5,0.009962555123038007,-0.004341946223740576
ProtFP3,0.0023419203747072626,0.0023419203747072626,0.04450467125004282,5,0.0071639667950089535,-0.0024801260455944284
F5,0.0023419203747072626,0.006827812523238065,0.24293312213969068,5,0.016400480730452333,-0.01171663998103781
Z3,0.0023419203747072626,0.0016559877779544457,0.017054711583704807,5,0.005751622097698905,-0.00106778134828438
ProtFP6,0.0023419203747072626,0.005236693155737218,0.1869504831500295,5,0.013124343961161364,-0.008440503211746839
VHSE3,0.0023419203747072626,0.0016559877779544457,0.017054711583704807,5,0.005751622097698905,-0.00106778134828438
NonPolar_Mole.,0.0023419203747072626,0.0043813318346299125,0.1490074058656052,5,0.011363143178651593,-0.006679302429237068
Penetration Depth,0.0023419203747072626,0.002868254968130188,0.07096372388702771,5,0.00824769699758393,-0.003563856248169404
ST3,0.0023419203747072626,0.005492290116889268,0.1971741416545641,5,0.013650621636898863,-0.008966780887484338
T2,0.0023419203747072626,0.003702901241414968,0.11509982054024936,5,0.009966245210314733,-0.005282404460900208
ProtFP1,0.0018735362997658101,0.0030534905879169346,0.12099076528401038,5,0.00816071562401173,-0.004413643024480111
Polar_Mole.,0.0018735362997658101,0.0030534905879169346,0.12099076528401038,5,0.00816071562401173,-0.004413643024480111
VHSE4,0.0018735362997658101,0.0030534905879169346,0.12099076528401038,5,0.00816071562401173,-0.004413643024480111
T5,0.0018735362997658101,0.0019593911628432705,0.04965034160686339,5,0.005907949785723966,-0.002160877186192346
KF8,0.0018735362997658101,0.0010473386311474436,0.008065044950046259,5,0.00403002101705663,-0.00028294841752501054
Z5,0.0014051522248243575,0.004254309631050344,0.25058468371008186,5,0.01016483455596493,-0.007354530106316215
Small_Mole.,0.0014051522248243575,0.0035516981002583414,0.21315860397018438,5,0.008718147702940831,-0.005907843253292117
