Hp,Ep,Length,Hydrophobic residue%,H,miuH,Normalized Hydrophobic Moment,Normalized Hydrophobicity,Net Charge,Isoelectric Point,Penetration Depth,Tilt Angle,Disordered Conformation Propensity,Linear Moment,Propensity to in vitro Aggregation,Angle Subtended by the Hydrophobic Residues,Amphiphilicity Index,Propensity to PPII coil,Boman Index,PP1,PP2,PP3,KF1,KF2,KF3,KF4,KF5,KF6,KF7,KF8,KF9,KF10,Z1,Z2,Z3,Z4,Z5,F1,F2,F3,F4,F5,F6,T1,T2,T3,T4,T5,VHSE1,VHSE2,VHSE3,VHSE4,VHSE5,VHSE6,VHSE7,VHSE8,ProtFP1,ProtFP2,ProtFP3,ProtFP4,ProtFP5,ProtFP6,ProtFP7,ProtFP8,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,BLOSUM1,BLOSUM2,BLOSUM3,BLOSUM4,BLOSUM5,BLOSUM6,BLOSUM7,BLOSUM8,BLOSUM9,BLOSUM10,MSWHIM1,MSWHIM2,MSWHIM3,Tiny_Mole.,Small_Mole.,Aliphatic_Mole.,Aromatic_Mole.,NonPolar_Mole.,Polar_Mole.,Charged_Mole.,Basic_Mole.,Acidic_Mole.
0.5,0.25,8,0.625,0.74,0.36449159,0.4,0.38,-2,2.83,16,109,0.38,0.27,1.57,100,1.5,0.94,0.82875,-0.125,-0.1025,-0.365,0.16125,0.315,-0.56375,-0.445,0.165,0.28875,-0.165,0.65625,-0.415,0.23625,-0.85125,0.71,0.905,0.27,-0.565,0.173875,-0.131875,0.361,-0.3515,-0.4065,-0.66325,-2.47125,-0.22875,-0.33125,-0.20875,0.305,0.39375,0.3775,0.16625,0.4475,-0.4875,0.255,-0.36875,-0.39375,1.06625,0.32,0.27125,-1.87625,-0.09,-0.01375,-0.50375,0.58875,-0.48775,0.18775,0.25125,-0.107,0.016125,-0.121625,-0.03425,0.181375,-0.28875,0.505,0.08875,-0.02875,-0.325,0.25,-0.27875,0.225,-0.0775,-0.08,0.155,0.27625,-0.535,12.5,37.5,0,37.5,75,25,25,0,25
0.125,0.375,8,0.875,1.33375,0.173654203,0.52,-1.74,0,3.5,9,27,0.78,0.54,1.18,100,0.87,1.11,-2.46375,-0.69125,-0.21375,-0.03625,0.155,-0.335,0.045,-0.8975,-0.275,-0.01,0.62875,-0.3975,-0.065,0.53625,-1.68,-1.05375,0.72125,0.17375,-0.45125,0.41175,-0.186125,-0.19425,0.051875,0.145875,-0.10925,-4.915,-1.19,-0.26,0.50375,0.6125,0.67,-0.47,-0.21375,-0.10625,0.10875,-0.54875,-0.31125,-0.035,2.95125,-2.39,0.96125,-0.33,-0.17625,0.15375,0.1175,-0.21,-0.922125,-0.354875,0.0035,0.155875,-0.448,-0.49675,0.249625,-0.0575,-0.745,-0.425,0.50125,-0.13125,0.18125,-0.23125,0.03375,0.15,-0.20375,0.10125,-0.4425,0.5225,-0.4075,37.5,62.5,37.5,12.5,100,0,0,0,0
0.125,0.5,8,0.375,-0.06375,0.194501931,0.38,1,-3,2.86,30,166,0.31,0.52,0,50,0.32,0.69,1.92,-0.1925,-0.7125,-0.16,-0.1125,-0.90125,-0.86,0.20875,-0.27125,0.17,0.3225,1.0425,-0.7475,0.20375,1.7175,-1.65875,0.4825,-1.15,-0.07125,-0.43975,-0.26975,-0.87575,0.5515,-0.33575,-1.083875,-6.96625,0.01375,0.0425,0.42125,1.64125,-0.36875,-0.595,-1.1275,0.82875,-1.0425,-0.4225,0.9225,-0.5725,-3.6125,-3.19625,-0.10375,-1.4125,-0.62375,1.36,-0.5225,-0.0675,-1.24275,-0.147625,-0.25775,0.179125,-0.06075,-1.248375,0.14175,1.0835,0.7725,-0.06625,0.46625,-0.06125,-0.34,0.4975,0.08875,0.5025,0.2775,0.21625,-0.22125,-0.1775,-0.52875,50,62.5,12.5,0,62.5,37.5,37.5,0,37.5
0.375,0.625,8,0.625,0.34625,0.43401701,1.74,-0.29,-2,3.57,21,130,0.58,0.42,8.87,150,0.62,0.93,1.485,-0.0375,-0.3875,-0.33625,-0.485,-0.12625,0.07875,0.2275,-0.2125,-0.57,-0.4825,0.13875,0.11,0.29125,0.00125,-0.6625,-0.6275,-1.21625,0.3275,-0.659,0.47825,0.04075,0.61075,-0.047625,-0.1635,-4.41125,0.4725,0.19,0.51,0.38625,-0.0625,0.06625,0.0375,-0.66,-0.615,-0.3325,0.255,0.0575,-0.11125,0.0275,-2.21875,-0.4925,-0.54125,0.09125,0.68,-0.09375,-0.853,-0.4285,-0.32575,-0.059625,0.042375,0.436625,-0.02475,-0.093125,0.07375,-0.53,-0.46625,0.0125,-0.40125,0.1225,-0.505,0.2425,0.06125,0.0375,-0.4625,0.1025,-0.36625,0,50,50,0,50,50,50,12.5,37.5
0.375,0.25,8,0.5,0.61375,0.230815245,1.35,0.21,1,10.5,19,121,0.05,0.32,0,80,0.31,1.44,1.07625,-0.49125,-0.205,0.105,0.55,-0.18625,-0.43625,-0.345,-0.06625,-0.62,0.17,-1.0225,0.48125,-0.01625,-0.91625,0.07,0.4175,0.2975,1.0025,-0.036375,-0.542625,-0.153125,0.391875,1.516875,-0.1775,-4.4425,-1.20875,-0.32,-0.0525,0.31125,0.19375,-0.04375,-0.17,-0.10875,0.21125,-0.535,-0.1,1.29,-0.8,-1.03375,0.9925,0.92375,-1.1975,-1.2075,-0.41,0.1975,-0.86825,-0.243375,-0.08,-0.048125,-0.52075,-0.567125,0.14775,-0.02225,0.1925,-0.38375,0.005,-0.30625,-0.315,-0.5625,0.49625,-0.18375,0.06125,-0.31625,-0.3775,0.605,-0.365,25,62.5,25,12.5,75,25,12.5,12.5,0
0.375,0.5,8,0.375,0.425,0.221767562,0.66,1.21,0,7.89,22,127,-0.13,0.51,0,50,1.51,1.08,1.66375,0.0125,-0.24875,0.06375,0.3975,0.00875,-0.14875,0.02125,0.17625,-0.02625,-0.20875,-0.015,-0.21375,0.115,0.20375,0.00125,-0.0425,0.49375,0.13,-0.153875,-0.457125,-0.034375,-0.054125,0.177,-0.25825,-3.5575,-0.8175,-0.00625,-0.2075,0.47375,-0.0375,0.10375,-0.11625,0.15,-0.01,-0.12625,0.30625,0.37125,-1.13,-0.2375,0.75875,-0.19,-0.435,-0.16875,0.1675,-0.00875,-0.69025,-0.2215,-0.207,-0.27075,0.007,-0.3385,0.299875,0.102375,0.28625,0.17875,0.1775,-0.10375,-0.25875,-0.07625,0.0425,-0.1325,-0.12375,0.07125,-0.09875,0.3575,-0.5125,25,50,12.5,25,50,50,37.5,25,12.5
0.125,0.375,8,0.5,0.61375,0.2699795,0.3,0.95,0,5.71,18,11,-0.05,0.41,0,50,1.33,1.32,1.25125,-0.1525,-0.1125,-0.0875,0.4825,0.265,-0.68125,-0.2875,0.40375,-0.19,-0.15125,-0.56875,-0.13375,-0.0325,-0.76125,0.86875,0.79875,0.62,0.3175,-0.127125,-0.403875,0.147,-0.226875,0.81375,-0.443625,-2.845,-0.90875,-0.465,-0.30875,0.00875,0.185,0.28875,0.175,0.13375,-0.01875,-0.0225,-0.32,0.77375,-0.57625,0.54875,0.81625,-0.23125,-0.955,-0.97625,-0.48875,0.5,-0.588875,-0.046625,0.057875,-0.1775,-0.169,-0.096125,0.173625,-0.166875,0.14125,0.1075,0.07375,-0.4125,-0.33,-0.31125,-0.025,-0.11625,-0.08375,-0.28625,-0.125,0.4975,-0.46125,12.5,50,0,25,62.5,37.5,25,12.5,12.5
0.111,0.667,9,0.556,0.696666667,0.327937511,1.04,-0.29,0,7.68,14,146,0.33,0.28,0,100,0.71,1.1,0.297777778,-0.202222222,-0.151111111,-0.033333333,-0.226666667,0.086666667,-0.014444444,-0.138888889,0.122222222,-0.432222222,-0.253333333,-0.146666667,0.394444444,-0.163333333,-0.853333333,-0.057777778,-0.355555556,-0.022222222,0.395555556,0.176333333,0.225444444,0.212666667,0.326555556,0.477111111,-0.050555556,-3.507777778,-0.284444444,-0.271111111,0.052222222,0.051111111,0.243333333,0.024444444,0.168888889,-0.396666667,0.081111111,-0.4,0.118888889,0.376666667,0.818888889,0.063333333,-0.523333333,0.583333333,-0.812222222,-0.286666667,0.073333333,-0.464444444,-0.685,-0.319666667,-0.063111111,-0.228444444,-0.201555556,0.350222222,0.136777778,-0.119333333,-0.098888889,-0.166666667,-0.464444444,0.111111111,-0.207777778,-0.117777778,0.061111111,-0.01,0.056666667,-0.097777778,-0.273333333,0.547777778,-0.313333333,11.111,22.222,33.333,22.222,55.556,44.444,33.333,22.222,11.111
0.111,0.556,9,0.444,0.45,0.394320826,0.73,0.13,0,5.72,18,155,0.2,0.33,0,50,0.27,1.09,1.853333333,-0.191111111,-0.306666667,0.054444444,0.405555556,-0.268888889,-0.234444444,-0.113333333,-0.326666667,-0.635555556,-0.018888889,-0.286666667,0.082222222,0.307777778,-0.012222222,-0.351111111,0.112222222,-0.474444444,0.511111111,-0.053555556,-0.385333333,-0.189333333,0.616,0.397222222,-0.191222222,-4.81,-0.198888889,-0.074444444,0.098888889,0.745555556,0.033333333,-0.061111111,-0.306666667,0.112222222,-0.18,-0.184444444,0.077777778,0.265555556,-1.086666667,-1.152222222,0.214444444,-0.055555556,-0.365555556,-0.261111111,-0.076666667,0.242222222,-0.912888889,-0.122666667,-0.191444444,-0.030333333,-0.195888889,-0.472444444,0.079444444,0.331888889,0.17,-0.213333333,0.037777778,0.002222222,-0.176666667,0.158888889,0.146666667,0.003333333,0.001111111,-0.272222222,-0.352222222,0.358888889,-0.441111111,33.333,55.556,22.222,11.111,55.556,44.444,22.222,11.111,11.111
0.111,0.556,9,0.778,0.494444444,0.364663715,1.63,-0.92,-1,3.01,14,139,0.64,0.46,0,210,0.14,0.97,0.01,-0.384444444,-0.506666667,-0.053333333,-0.797777778,-0.708888889,0.022222222,-0.018888889,-0.083333333,-0.072222222,-0.297777778,-0.105555556,-0.03,-0.415555556,-0.236666667,-1.366666667,-0.178888889,-0.603333333,0.463333333,-0.056777778,0.486333333,-0.35,0.524333333,-0.045666667,-0.153333333,-6.127777778,-0.364444444,0.273333333,0.753333333,0.954444444,0.115555556,-0.515555556,-0.474444444,-0.82,-0.204444444,-0.435555556,-0.126666667,-0.193333333,0.43,-1.912222222,-1.862222222,0.52,0.124444444,0.08,-0.288888889,0.593333333,-1.099666667,-0.503555556,-0.420222222,0.106444444,-0.055666667,-0.545222222,0.079777778,0.158444444,-0.053333333,-0.681111111,-0.126666667,-0.036666667,-0.078888889,0.187777778,-0.048888889,-0.105555556,0.436666667,0.291111111,-0.552222222,0.452222222,-0.573333333,44.444,66.667,55.556,0,66.667,33.333,11.111,0,11.111
0.111,0.444,9,0.444,0.507777778,0.408676036,0.59,0.54,0,6.1,15,60,0.07,0.48,0.85,40,1.18,0.94,2.122222222,0.042222222,-0.166666667,0.056666667,0.067777778,0.011111111,0.087777778,0.051111111,-0.534444444,-0.172222222,0.224444444,-0.128888889,-0.445555556,0.145555556,-0.032222222,-0.238888889,-0.464444444,-0.324444444,-0.255555556,-0.005666667,-0.094888889,0.034222222,0.321777778,-0.081777778,0.092111111,-3.438888889,-0.08,0.104444444,-0.172222222,0.682222222,0.02,0.131111111,-0.038888889,0.13,-0.04,-0.094444444,-0.028888889,-0.141111111,-0.256666667,-0.212222222,0.186666667,-0.143333333,-0.104444444,0.311111111,0.085555556,0.442222222,-0.665444444,-0.24,-0.215333333,-0.167333333,-0.013666667,-0.465888889,0.210333333,0.325888889,-0.005555556,0.123333333,0.106666667,-0.193333333,0.032222222,0.386666667,-0.02,-0.384444444,0.124444444,-0.088888889,-0.136666667,0.495555556,-0.393333333,44.444,44.444,11.111,22.222,44.444,55.556,22.222,11.111,11.111
0.111,0.333,9,0.444,0.525555556,0.386783003,1.28,0.59,1,8.12,17,36,-0.05,0.37,0,100,0.97,1.16,2.091111111,-0.113333333,-0.245555556,0.116666667,0.588888889,-0.145555556,0.381111111,-0.062222222,-0.155555556,0.558888889,0.576666667,0.038888889,0.361111111,-0.222222222,0.44,-0.2,0.502222222,-0.117777778,-0.31,0.013,-0.524111111,-0.272444444,-0.442666667,-0.058666667,0.221555556,-4.442222222,-0.105555556,-0.123333333,0.08,0.617777778,-0.128888889,-0.223333333,-0.17,0.328888889,0.153333333,0.14,-0.076666667,0.09,-0.242222222,-0.662222222,1.234444444,-0.066666667,0.712222222,-0.135555556,0.435555556,-0.274444444,-0.836777778,-0.085111111,-0.009888889,0.138777778,-0.155222222,-0.441333333,0.168333333,0.045333333,0.064444444,-0.156666667,0.234444444,0.183333333,0.338888889,-0.242222222,0.097777778,0.115555556,-0.133333333,-0.032222222,-0.197777778,0.436666667,-0.251111111,33.333,55.556,11.111,11.111,66.667,33.333,11.111,11.111,0
0.556,0.222,9,0.444,0.346666667,0.065116884,0.32,0.8,2,12.1,19,169,-0.23,0.25,0,70,0.68,1.18,3.547777778,-0.02,-0.06,0.196666667,0.111111111,0.161111111,0.106666667,0.185555556,-0.018888889,-0.126666667,0.121111111,-0.626666667,0.013333333,-0.05,0.062222222,0.45,-0.473333333,0.257777778,0.322222222,-0.155777778,0.019111111,0.064666667,0.098888889,0.480888889,0.466222222,-3.388888889,0.553333333,-0.518888889,-0.005555556,0.207777778,-0.125555556,0.142222222,0.196666667,0.107777778,0.36,0.174444444,-0.131111111,0.392222222,-0.54,0.934444444,0.206666667,0.837777778,0.104444444,-0.405555556,-0.454444444,0.368888889,-0.672555556,0.089333333,-0.038222222,-0.031444444,-0.177333333,-0.024777778,0.299888889,0.128111111,0.186666667,-0.148888889,-0.392222222,-0.25,0.215555556,0.042222222,0.211111111,-0.103333333,0.021111111,-0.208888889,-0.316666667,0.673333333,-0.191111111,22.222,33.333,11.111,11.111,44.444,55.556,22.222,22.222,0
0.111,0.222,9,0.444,0.501111111,0.199728994,1.19,0.04,1,9.52,12,92,0.12,0.49,81.31,80,0.83,1.09,1.158888889,-0.287777778,-0.26,0.171111111,0.347777778,-0.26,0.435555556,-0.048888889,-0.125555556,-0.306666667,0.234444444,-0.057777778,-0.044444444,0.194444444,-0.411111111,-0.692222222,-0.332222222,-0.162222222,-0.017777778,-0.161555556,-0.442,-0.090555556,0.373666667,0.213888889,0.26,-4.426666667,-0.675555556,0.084444444,-0.02,0.75,0.101111111,-0.121111111,-0.264444444,-0.086666667,0.212222222,-0.316666667,-0.07,0.288888889,-0.163333333,-1.26,0.706666667,0.494444444,-0.068888889,-0.218888889,0.328888889,0.572222222,-0.83,-0.293444444,-0.095333333,0.015666667,-0.313444444,-0.849444444,-0.004888889,0.266444444,-0.076666667,-0.131111111,0.068888889,0.002222222,-0.166666667,0.032222222,0.334444444,-0.377777778,0.268888889,-0.117777778,-0.235555556,0.546666667,-0.425555556,44.444,66.667,22.222,22.222,66.667,33.333,11.111,11.111,0
0.556,0.111,9,0.444,0.301111111,0.520131046,1.36,1.4,0,5.69,19,152,-0.19,0.43,0,50,0.55,1.13,3.672222222,0.094444444,-0.093333333,-0.228888889,0.137777778,0.363333333,-0.275555556,0.15,0.342222222,0.178888889,0.321111111,-0.011111111,0.546666667,-0.627777778,0.122222222,1.108888889,0.113333333,-0.064444444,0.365555556,-0.258111111,-0.038777778,0.200111111,-0.322555556,0.327555556,-0.025777778,-2.583333333,0.477777778,-0.242222222,-0.338888889,0.068888889,-0.14,0.32,0.296666667,0.222222222,-0.086666667,0.421111111,-0.227777778,0.25,-0.818888889,1.527777778,0.095555556,-0.3,0.123333333,-0.56,-0.454444444,0.322222222,-0.550888889,0.135,0.102222222,-0.090777778,-0.033111111,0.314111111,0.085555556,0.034777778,0.325555556,0.196666667,-0.393333333,-0.078888889,-0.076666667,-0.021111111,-0.111111111,0.066666667,-0.103333333,-0.235555556,0.113333333,0.544444444,-0.313333333,0,33.333,0,22.222,44.444,55.556,22.222,11.111,11.111
0.111,0.556,9,0.556,0.346666667,0.42791731,0.98,0.33,0,5.72,17,130,0.14,0.33,0,50,0.41,0.85,1.908888889,-0.295555556,-0.258888889,-0.037777778,-0.014444444,-0.24,-0.301111111,-0.044444444,0.021111111,0.011111111,0.475555556,0.702222222,9.25E-18,-0.096666667,0.255555556,-0.316666667,0.1,-0.063333333,-0.048888889,-0.025555556,-0.152222222,-0.164888889,0.213555556,-0.276333333,-0.201777778,-4.538888889,0.156666667,-0.3,0.051111111,0.934444444,0.024444444,-0.137777778,-0.361111111,0.526666667,-0.15,0.065555556,0.221111111,-0.362222222,-0.691111111,-1.112222222,0.481111111,-0.564444444,0.132222222,0.608888889,-0.602222222,0.583333333,-0.844333333,0.069333333,0.092888889,0.105666667,-0.304111111,-0.642666667,0.148,0.803333333,0.136666667,0.15,0.11,0.005555556,-0.103333333,0.405555556,0.188888889,0.334444444,0.187777778,-0.171111111,-0.037777778,0.29,-0.375555556,33.333,44.444,11.111,22.222,66.667,33.333,22.222,11.111,11.111
